Match,Score,Stadia
CHE,3,HOME
CPFC,2,AWAY
,,
CHE,0,HOME
SHU,3,AWAY
,,
CHE,1,AWAY
NCFC,0,HOME
,,
CHE,3,HOME
LIV,5,AWAY
,,
CHE,3,HOME
LIV,5,AWAY
