Match,Score,Stadia
LEI,1,H
ARS,1,A
,,
LEI,1,A
ABFC,4,H
,,
LEI,2,A
SHU,0,H
,,
LEI,0,H
THS,3,A
,,
LEI,0,H
MAN,2,A
