Match,Score,Stadia
TOT,0,HOME
BOU,0,AWAY
,,
TOT,3,HOME
NEW,1,AWAY
,,
TOT,2,AWAY
ARS,1,HOME
,,
TOT ,3,HOME
LEI,0,AWAY
,,
TOT,1,HOME
CPFC,1,AWAY
